1921	1	149
1922	150	406
1923	407	562
1924	563	907
1925	908	1185
1926	1186	1684
1927	1685	2220
1928	2221	3184
1929	3185	3923
1930	3924	5103
1931	5104	6038
1932	6039	8036
1933	8037	9385
1934	9386	10465
1935	10466	11624
1936	11625	12659
1937	12660	14653
1938	14654	16600
1939	16601	19131
1940	19132	22646
1941	22647	27060
1942	27061	31330
1943	31331	36161
1944	36162	41930
1945	41931	46518
1946	46519	51269
1947	51245	55222
1948	55223	59047
1949	59048	63847
1950	63848	68764
1951	68765	73509
1952	73512	78349
1953	78350	82854
1954	82855	87741
1955	87742	92142
1956	92143	97253
